Comparison: 3/1/2026 - 3/31/2026,,,,,,,,,,
,,,,,,,,,,
Visit Date as of: 03/31/2026 01:30:49 CDT/CST,,,,,,,,,,
Disclaimer: Scores with Visit Date applied during this date range may change as additional responses can be received within the 2 day response window.,,,,,,,,,,
Filters Applied:,,,,,,,,,,
Time of Day: '2 PM to 5 PM',,,,,,,,,,


,,,,,,,,,,
Store,Sales Channel Breakout,Count,Overall Satisfaction,,Taste of Food,,Fast Service,,Attentive/Friendly,
,,,Score,n,Score,n,Score,n,Score,n
04465 - West Lufkin FSU,,51,71%,51,78%,51,69%,51,78%,51
04465 - West Lufkin FSU,Carry Out,8,75%,8,75%,8,38%,8,63%,8
04465 - West Lufkin FSU,Dine In,1,100%,1,100%,1,100%,1,100%,1
04465 - West Lufkin FSU,Drive Thru,30,77%,30,90%,30,83%,30,83%,30
04465 - West Lufkin FSU,Mobile Carry Out,4,25%,4,25%,4,50%,4,100%,4
04465 - West Lufkin FSU,Mobile Dine In,3,67%,3,67%,3,33%,3,67%,3
04465 - West Lufkin FSU,Mobile Drive Thru,5,60%,5,60%,5,60%,5,60%,5
Store,Sales Channel Breakout,Count,Cleanliness,,Portion Size of Food,,Order Accuracy Y/N ,,,
,,,Score,n,Score,n,Score,n,,
04465 - West Lufkin FSU,,51,69%,51,72%,32,94%,51,,
04465 - West Lufkin FSU,Carry Out,8,63%,8,50%,6,88%,8,,
04465 - West Lufkin FSU,Dine In,1,100%,1,100%,1,100%,1,,
04465 - West Lufkin FSU,Drive Thru,30,73%,30,84%,19,97%,30,,
04465 - West Lufkin FSU,Mobile Carry Out,4,50%,4,0%,2,75%,4,,
04465 - West Lufkin FSU,Mobile Dine In,3,67%,3,100%,1,100%,3,,
04465 - West Lufkin FSU,Mobile Drive Thru,5,60%,5,67%,3,100%,5,,
