Comparison: 3/1/2026 - 3/30/2026,,,,,,,,,,
,,,,,,,,,,
Visit Date as of: 03/30/2026 01:51:12 CDT/CST,,,,,,,,,,
Disclaimer: Scores with Visit Date applied during this date range may change as additional responses can be received within the 2 day response window.,,,,,,,,,,
Filters Applied:,,,,,,,,,,
Time of Day: 'Before 10:30 AM',,,,,,,,,,


,,,,,,,,,,
Store,Sales Channel Breakout,Count,Overall Satisfaction,,Taste of Food,,Fast Service,,Attentive/Friendly,
,,,Score,n,Score,n,Score,n,Score,n
04465 - West Lufkin FSU,,81,72%,81,78%,81,63%,81,74%,81
04465 - West Lufkin FSU,Carry Out,5,80%,5,80%,5,80%,5,80%,5
04465 - West Lufkin FSU,Dine In,1,0%,1,0%,1,0%,1,0%,1
04465 - West Lufkin FSU,Drive Thru,51,67%,51,76%,51,59%,51,69%,51
04465 - West Lufkin FSU,Mobile Carry Out,6,83%,6,83%,6,50%,6,67%,6
04465 - West Lufkin FSU,Mobile Drive Thru,18,83%,18,83%,18,78%,18,94%,18
Store,Sales Channel Breakout,Count,Cleanliness,,Portion Size of Food,,Order Accuracy Y/N ,,,
,,,Score,n,Score,n,Score,n,,
04465 - West Lufkin FSU,,81,72%,81,71%,42,90%,81,,
04465 - West Lufkin FSU,Carry Out,5,80%,5,50%,2,100%,5,,
04465 - West Lufkin FSU,Dine In,1,0%,1,**,**,100%,1,,
04465 - West Lufkin FSU,Drive Thru,51,73%,51,67%,27,86%,51,,
04465 - West Lufkin FSU,Mobile Carry Out,6,67%,6,75%,4,100%,6,,
04465 - West Lufkin FSU,Mobile Drive Thru,18,72%,18,89%,9,94%,18,,
