Comparison: 3/1/2026 - 3/31/2026,,,,,,,,,,
,,,,,,,,,,
Visit Date as of: 03/31/2026 01:30:44 CDT/CST,,,,,,,,,,
Disclaimer: Scores with Visit Date applied during this date range may change as additional responses can be received within the 2 day response window.,,,,,,,,,,
Filters Applied:,,,,,,,,,,
Time of Day: 'After 7 PM',,,,,,,,,,


,,,,,,,,,,
Store,Sales Channel Breakout,Count,Overall Satisfaction,,Taste of Food,,Fast Service,,Attentive/Friendly,
,,,Score,n,Score,n,Score,n,Score,n
04465 - West Lufkin FSU,,48,67%,48,69%,48,65%,48,79%,48
04465 - West Lufkin FSU,Carry Out,6,33%,6,33%,6,33%,6,67%,6
04465 - West Lufkin FSU,Dine In,3,100%,3,100%,3,100%,3,100%,3
04465 - West Lufkin FSU,Drive Thru,32,69%,32,75%,32,69%,32,78%,32
04465 - West Lufkin FSU,Mobile Dine In,1,100%,1,0%,1,0%,1,100%,1
04465 - West Lufkin FSU,Mobile Drive Thru,6,67%,6,67%,6,67%,6,83%,6
Store,Sales Channel Breakout,Count,Cleanliness,,Portion Size of Food,,Order Accuracy Y/N ,,,
,,,Score,n,Score,n,Score,n,,
04465 - West Lufkin FSU,,48,75%,48,59%,22,88%,48,,
04465 - West Lufkin FSU,Carry Out,6,50%,6,50%,4,67%,6,,
04465 - West Lufkin FSU,Dine In,3,100%,3,100%,2,100%,3,,
04465 - West Lufkin FSU,Drive Thru,32,78%,32,64%,11,91%,32,,
04465 - West Lufkin FSU,Mobile Dine In,1,0%,1,0%,1,0%,1,,
04465 - West Lufkin FSU,Mobile Drive Thru,6,83%,6,50%,4,100%,6,,
