Comparison: 3/1/2026 - 3/31/2026,,,,,,,,,,
,,,,,,,,,,
Visit Date as of: 03/31/2026 01:30:51 CDT/CST,,,,,,,,,,
Disclaimer: Scores with Visit Date applied during this date range may change as additional responses can be received within the 2 day response window.,,,,,,,,,,
Filters Applied:,,,,,,,,,,
Time of Day: '5PM to 7 PM',,,,,,,,,,


,,,,,,,,,,
Store,Sales Channel Breakout,Count,Overall Satisfaction,,Taste of Food,,Fast Service,,Attentive/Friendly,
,,,Score,n,Score,n,Score,n,Score,n
04465 - West Lufkin FSU,,48,79%,48,81%,48,60%,48,77%,48
04465 - West Lufkin FSU,Carry Out,7,100%,7,100%,7,57%,7,71%,7
04465 - West Lufkin FSU,Dine In,3,100%,3,100%,3,100%,3,100%,3
04465 - West Lufkin FSU,Drive Thru,28,75%,28,79%,28,54%,28,79%,28
04465 - West Lufkin FSU,Mobile Carry Out,4,25%,4,25%,4,50%,4,50%,4
04465 - West Lufkin FSU,Mobile Drive Thru,6,100%,6,100%,6,83%,6,83%,6
Store,Sales Channel Breakout,Count,Cleanliness,,Portion Size of Food,,Order Accuracy Y/N ,,,
,,,Score,n,Score,n,Score,n,,
04465 - West Lufkin FSU,,48,75%,48,69%,29,90%,48,,
04465 - West Lufkin FSU,Carry Out,7,100%,7,80%,5,100%,7,,
04465 - West Lufkin FSU,Dine In,3,67%,3,100%,2,100%,3,,
04465 - West Lufkin FSU,Drive Thru,28,68%,28,67%,18,93%,28,,
04465 - West Lufkin FSU,Mobile Carry Out,4,50%,4,0%,2,25%,4,,
04465 - West Lufkin FSU,Mobile Drive Thru,6,100%,6,100%,2,100%,6,,
