Comparison: 3/1/2026 - 3/31/2026,,,,,,,,,,
,,,,,,,,,,
Visit Date as of: 03/31/2026 01:30:47 CDT/CST,,,,,,,,,,
Disclaimer: Scores with Visit Date applied during this date range may change as additional responses can be received within the 2 day response window.,,,,,,,,,,
Filters Applied:,,,,,,,,,,
Time of Day: '10:30 AM to 2 PM',,,,,,,,,,


,,,,,,,,,,
Store,Sales Channel Breakout,Count,Overall Satisfaction,,Taste of Food,,Fast Service,,Attentive/Friendly,
,,,Score,n,Score,n,Score,n,Score,n
04465 - West Lufkin FSU,,108,69%,108,79%,108,61%,108,72%,108
04465 - West Lufkin FSU,Carry Out,13,62%,13,69%,13,46%,13,54%,13
04465 - West Lufkin FSU,Curbside,3,67%,3,100%,3,0%,3,67%,3
04465 - West Lufkin FSU,Dine In,13,85%,13,85%,13,77%,13,77%,13
04465 - West Lufkin FSU,Drive Thru,52,63%,52,75%,52,62%,52,79%,52
04465 - West Lufkin FSU,Mobile Carry Out,13,77%,13,85%,13,77%,13,69%,13
04465 - West Lufkin FSU,Mobile Dine In,1,0%,1,100%,1,0%,1,0%,1
04465 - West Lufkin FSU,Mobile Drive Thru,13,77%,13,85%,13,62%,13,69%,13
Store,Sales Channel Breakout,Count,Cleanliness,,Portion Size of Food,,Order Accuracy Y/N ,,,
,,,Score,n,Score,n,Score,n,,
04465 - West Lufkin FSU,,108,69%,108,64%,56,90%,108,,
04465 - West Lufkin FSU,Carry Out,13,69%,13,75%,4,77%,13,,
04465 - West Lufkin FSU,Curbside,3,100%,3,50%,2,100%,3,,
04465 - West Lufkin FSU,Dine In,13,62%,13,57%,7,92%,13,,
04465 - West Lufkin FSU,Drive Thru,52,69%,52,64%,28,87%,52,,
04465 - West Lufkin FSU,Mobile Carry Out,13,62%,13,50%,8,100%,13,,
04465 - West Lufkin FSU,Mobile Dine In,1,0%,1,**,**,100%,1,,
04465 - West Lufkin FSU,Mobile Drive Thru,13,77%,13,86%,7,100%,13,,
